index_team,Team
0,Sunderland
1,Man_United
2,Fulham
3,Ipswich
4,Norwich
5,Cardiff
6,Charlton
7,Leeds
8,Swansea
9,Arsenal
10,Bradford
11,Bolton
12,Newcastle
13,Wigan
14,Nottm_Forest
15,Everton
16,Chelsea
17,Crystal_Palace
18,Sheffield_United
19,Blackburn
20,Leicester
21,Man_City
22,Brighton
23,Southampton
24,Middlesbrough
25,Liverpool
26,Blackpool
27,Huddersfield
28,Aston_Villa
29,Brentford
30,West_Ham
31,Bournemouth
32,West_Brom
33,Watford
34,QPR
35,Wolves
36,Birmingham
37,Reading
38,Luton
39,Derby
40,Tottenham
41,Coventry
42,Portsmouth
43,Stoke
44,Hull
45,Burnley
